07/24/07 - Mojo's Cafe - 2210 Washington Blvd - Ogden, UT

07/26/07 - The Laboratory - 1009 W. Sussex - Missoula, MT

07/27/07 - Greenhouse - 2515 S. Charles St - Seattle, WA

07/28/07 - Hoku's Sushi Joint - 362 Powell St - Vancouver, BC - Canada

07/29/07 - Le Voyeur - 404 E. 4th Ave - Olympia, WA

07/30/07 - The Storefront - 1316 SE 7th - Portland, OR

08/02/07 - Thrillhouse Records - 3422 Mission St - San Francisco, CA

08/04/07 - The Tower Bar - 4757 University Ave - San Diego, CA

08/06/07 - Bunkhouse - 124 S. 11th St - Las Vegas, NV

08/07/07 - The Trunk Space - 1506 NW Grand Ave - Phoenix, AZ

08/09/07 - La Casa - 202 Sycamore - Albuquerque, NM

08/11/07 - Easy Street Piano Bar - 307 W. 7th St - Little Rock, AR

08/12/07 - The Parlor - 100 E. North Loop - Austin, TX

08/13/07 - 1919 Hemphill - 1919 Hemphill St - Ft. Worth, TX

08/15/07 - Super Happy Funland - 2610 Ashland St - Houston, TX

08/16/07 - Satori Coffee House - 5460 Old Shell Rd - Mobile, AL

08/17/07 - Sluggos - 2403 W. Cervantes St - Pensacola, FL

08/18/07 - Atlantic - 15 N. Main St - Gainesville, FL

08/19/07 - Secret Squirrel - 766 W. Broad St - Athens, GA

08/20/07 - Anarchtica (Tom Foote's House) - 621 W. Bell Ave - Chattanooga, TN

08/21/07 - Lost Cross - 407 W. Elm - Carbondale, IL

08/22/07 - Meemaw House - 1603 Porter Rd - Nashville, TN

08/24/07 - The Boot - 123 W. 21st St - Norfolk, VA

08/25/07 - Sociology - 920 Dickinson Ave - Greenville, NC

08/26/07 - Bull City Headquarters - 723 N. Mangum St - Durham, NC

08/28/07 - Velvet Lounge - 915 U Street - Washington, DC

08/30/07 - Zodiac Vegetarian Restaurant - 1726 N. Charles St - Baltimore, MD

08/31/07 - Wallride Manor - 810 Littlestown Pike - Westminster, MD

09/09/07 - Yoga Vayu - 354 George St - New Brunswick, NJ

09/26/07 - The Den - 700 Hamilton St - Somerset, NJ

09/27/07 - Livingston Campus Student Center - 84 Joyce Kilmer Ave - Piscataway, NJ

10/13/07 - The Only Game In Town - 211 W Main St - Somerville, NJ

10/16/07 - Ivy Mansion - 25 Stone St - New Brunswick, NJ

10/18/07 - Transit Nightclub - 600 SPring Garden St - Philadelphia, PA

10/26/07 - Asterisk - Johnson Ave - Brooklyn, NY

11/09/07 - The Parlor - Hamilton St - New Brunswick, NJ

11/16/07 - Java Gallery - 244 Java St - Brooklyn, NY

11/19/07 - Ivy Mansion - 25 Stone St - New Brunswick, NJ

11/25/07 - The Loft - 120 Sandford St - New Brunswick, NJ

11/28/07 - Asbury Lanes - 209 4th Ave - Asbury Park, NJ

12/01/07 - Lamp Post - 382 2nd St - Jersey City, NJ

12/07/07 - 8 Park Underground - 8 Park Ave - Montclair, NJ

12/08/07 - The Fort - 1414 Lincoln Pl - Brooklyn, NY

12/12/07 - The Parlor - Hamilton St - New Brunswick, NJ

12/14/07 - The Crackhouse - 1291 N Manor Rd - Honey Brook, PA

01/04/08 - PLP Log Cabin - 8th & Morningside - Manchester, NJ

01/05/08 - Lo-Fi Social Club - 1825 N Charles St - Baltimore, MD

01/06/08 - Blue Carpet Garage - 1798 Grey Frairs Chase - Virginia Beach, VA

01/08/08 - Pirate House - 614 First Ave - Montgomery, WV

01/09/08 - Legion of Doom - 1579 Indianola Ave - Columbus, OH

01/10/08 - Mr Roboto Project - 722 Wood St - Wilkinsburg, PA

01/11/08 - Wallride Manor - 810 Littlestown Pike - Westminster, MD

01/12/08 - Planet Mollie - 1019 S 47th St - Philadelphia, PA

01/18/08 - Death By Audio - 49 S 2nd St - Brooklyn, NY

01/30/08 - Asbury Lanes - 209 4th Ave - Asbury Park, NJ

02/01/08 - The Parlor - Hamilton St - New Brunswick, NJ

02/22/08 - Courtlandtland - Courtlandt St - New Brunswick, NJ

02/23/08 - 25/27 Space - 27 W. High St - Carlisle, PA

02/24/08 - Rudich Ranch - 306 Taylor Ave - Easton, PA

02/29/08 - The Parlor - Hamilton St - New Brunswick, NJ

03/19/08 - Romano Student Center @ St Thomas Aquinas - 125 Route 340 - Sparkill, NY

03/20/08 - Fuck Mountain - Hamilton St - New Brunswick, NJ

03/24/08 - Maxwell's - 1039 Washington St - Hoboken, NJ

04/12/08 - Belvedere's - 4016 Butler St - Pittsburgh, PA

04/16/08 - Death By Audio - 49 S 2nd St - Brooklyn, NY

04/26/08 - New Brunswick 3 Day Weekend @ Yoga Vayu - 354 George St - New Brunswick, NJ

05/02/08 - The Cup - 388 Van Duzer St - Staten Island, NY

05/17/08 - The Parlor - Hamilton St - New Brunswick, NJ

05/25/08 - Death By Audio - 49 S 2nd St - Brooklyn, NY

05/28/08 - CourtlandtLand - Courtlandt St - New Brunswick, NJ

05/31/08 - Silent Barn - 915 Wyckoff Ave - Queens, NY

06/04/08 - MeatTown USA - Hamilton St - New Brunswick, NJ

06/05/08 - JRs - 22 St and Passyunk Ave - Philadelphia, PA

06/06/08 - The Nightlight - 405 1/2 W Rosemary St - Chapel Hill, North Carolina

06/08/08 - Colonel Tom's Junk Yard - 13 SE 12th St - Gainesville, FL

06/09/08 - Blackbox Collective - 630 W Central Blvd - Orlando, FL

06/11/08 - Spazzatorium Galleria - 807 Dickinson Ave - Greenville, NC

